strategy_id,symbol,timeframe,stage_reached,status,error,counts_as_attempt,tradable,tradability_judged,spread_atr_ratio,spread_stop_share,tradability_reason,gate_passed,gate_signals,gate_best_net_points,gate_best_p_value,gate_verdict,expected_ambiguous_share,ambiguity_flag,run_id,bars,trades,net_pnl,final_equity,sharpe_per_trade,sharpe_annualized,mean_r,win_rate,max_drawdown_pct,p_value,ambiguous_share,band_money,signals,gate_rejected,gate_rejected_share,structural_rejected_share,discretionary_rejected_share,equity_rejected_share,gates_materially_altered,top_gate,top_gate_share,gate_warnings,spread_charged_median,spread_zero_share,spread_trustworthy,spread_measured_share,spread_assumed_bars,relaxed_trades,relaxed_net_pnl,relaxed_sharpe_per_trade,relaxed_verdict,permutation_p_value,permutation_kind,permutation_iterations
ma-crossover,XTIUSD,H1,permutation,ok,,True,True,True,0.09936100937431996,0.04968050468715998,"spread is 9.9% of one ATR (30 of 302 points), 5.0% of a 2x ATR stop. The spread was measured from 2025-04-02, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,34.0,1070.7437913022231,0.022212052778880942,"PASSES on 1 of 15 combinations. Best: both at 30 bars, net +605.35 pt (p=0.0164). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.02840909090909091,False,8a225d1c5f2d77e1,5897.0,32.0,95.4316030003628,195.43160300036274,0.3307362353198561,1.8898459808686425,0.5992164089535609,0.53125,0.2025393915560354,0.07082100233845412,0.0,0.0,34.0,2.0,0.058823529411764705,0.058823529411764705,0.0,0.0,False,position_open,0.058823529411764705,[],30.0,0.0,True,0.7490249279294556,1480.0,,,,,0.014925373134328358,random_entries,200.0
ma-crossover,EURUSD.r,H1,permutation,ok,,True,True,True,0.007084351436781753,0.0035421757183908766,"spread is 0.7% of one ATR (1 of 141 points), 0.4% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,40.0,206.42499593957865,0.18217309526538805,"PASSES on 1 of 15 combinations. Best: both at 30 bars, net +142.36 pt (p=0.0494). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.030664395229982964,False,2d53dbf7c53bd7aa,6217.0,40.0,37.11399343245124,137.11399343245125,0.24315649859953545,1.6392524541023328,0.29349565951461826,0.425,0.11023750877231392,0.1321583202389045,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,False,,,[],1.0,0.0,True,0.6702589673475953,2050.0,,,,,0.06467661691542288,random_entries,200.0
rsi-mean-reversion,AUDUSD.r,H1,permutation,ok,,True,True,True,0.029514020877138194,0.014757010438569097,"spread is 3.0% of one ATR (3 of 102 points), 1.5% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,178.0,349.8159324257838,1.1240208098728388e-05,"PASSES on 7 of 15 combinations. Best: both at 120 bars, net +277.59 pt (p=0.0000). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.052580331061343716,False,3b213baf407a2e53,6217.0,146.0,38.37640019264755,138.37640019264757,0.19466955282869164,2.3542401270566007,0.12574560685535296,0.7534246575342466,0.07997805449821176,0.020007179285858268,0.00684931506849315,2.8203152582415782,178.0,32.0,0.1797752808988764,0.1797752808988764,0.0,0.0,False,position_open,0.1797752808988764,[],3.0,0.0,True,0.6707415152002574,2047.0,,,,,0.004975124378109453,random_entries,200.0
donchian-breakout,GBPUSD.r,H1,permutation,ok,,True,True,True,0.01833031074831257,0.009165155374156285,"spread is 1.8% of one ATR (3 of 164 points), 0.9% of a 2x ATR stop. The spread was measured from 2025-04-30, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,460.0,77.19109708211784,0.037746798131096826,"PASSES on 1 of 15 combinations. Best: long at 30 bars, net +77.19 pt (p=0.0377). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.015037593984962407,False,b9d3e44b447861ec,6217.0,209.0,61.67848705300728,161.67848705300753,0.06389334132614534,1.2314347628783373,0.08170057804583655,0.36363636363636365,0.32839901820765904,0.3567152662164297,0.0,0.0,460.0,251.0,0.5456521739130434,0.5456521739130434,0.0,0.0,True,position_open,0.5456521739130434,"['signal while already in a position rejected 251 of 460 signals (55%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.6717066109055815,2041.0,,,,"55% of the signals were rejected, 55% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.11940298507462686,random_entries,200.0
rsi-mean-reversion,EURUSD.r,H1,permutation,ok,,True,True,True,0.007084351436781753,0.0035421757183908766,"spread is 0.7% of one ATR (1 of 141 points), 0.4% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,189.0,374.69821223552515,0.00809309150780213,"PASSES on 4 of 15 combinations. Best: long at 15 bars, net +116.33 pt (p=0.0052). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.06621880998080615,False,7e748f6d701c94f6,6217.0,158.0,17.832000637788862,117.83200063778898,0.05483782540449608,0.8064803296166357,0.04857541884612978,0.6962025316455697,0.20693126603184017,0.491651490201253,0.012658227848101266,8.812256592705172,189.0,31.0,0.164021164021164,0.164021164021164,0.0,0.0,False,position_open,0.164021164021164,[],1.0,0.0,True,0.6702589673475953,2050.0,,,,,0.15920398009950248,random_entries,200.0
atr-volatility-breakout,GBPUSD.r,H1,permutation,ok,,True,True,True,0.01833031074831257,0.009165155374156285,"spread is 1.8% of one ATR (3 of 164 points), 0.9% of a 2x ATR stop. The spread was measured from 2025-04-30, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,320.0,86.22598552025107,0.039286034087625876,"PASSES on 1 of 15 combinations. Best: long at 30 bars, net +86.23 pt (p=0.0393). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.01759530791788856,False,b5486dbbac999253,6217.0,174.0,42.808809584811456,142.80880958481137,0.051822944720689205,0.9665339750927979,0.0546738629758573,0.3563218390804598,0.3237972594351109,0.49514764604852424,0.005747126436781609,7.537310864523619,320.0,146.0,0.45625,0.45625,0.0,0.0,True,position_open,0.45625,"['signal while already in a position rejected 146 of 320 signals (46%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.6717066109055815,2041.0,,,,"46% of the signals were rejected, 46% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.263681592039801,random_entries,200.0
bollinger-breakout,XAUUSD.r,M5,permutation,ok,,True,True,True,0.026065765377050437,0.013032882688525219,"spread is 2.6% of one ATR (7 of 269 points), 1.3% of a 2x ATR stop. The spread was measured from 2025-04-02, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,4327.0,106.53851286607582,0.054827781152506305,"PASSES on 1 of 15 combinations. Best: both at 120 bars, net +80.93 pt (p=0.0305). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.03050743522918902,False,ff898b3218152b52,70861.0,2186.0,4716.787166906498,4816.787166906492,0.051357898162721904,3.0021341661246064,0.08189454587222787,0.36825251601097897,0.6133736099165321,0.016423502945416724,0.0,0.0,4327.0,2141.0,0.49480009244280104,0.49480009244280104,0.0,0.0,True,position_open,0.49480009244280104,"['signal while already in a position rejected 2141 of 4327 signals (49%): above 20%, this gate is selecting the trades rather than trimming the tail']",7.0,0.0,True,0.7504127799494785,17686.0,,,,"49% of the signals were rejected, 49% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.004975124378109453,random_entries,200.0
rsi-mean-reversion,GBPUSD.r,M5,permutation,ok,,True,True,True,0.06908527196296996,0.03454263598148498,"spread is 6.9% of one ATR (3 of 43 points), 3.5% of a 2x ATR stop. The spread was measured from 2025-04-30, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,1945.0,10.432079750890495,0.13502271136092325,"PASSES on 1 of 15 combinations. Best: long at 15 bars, net +9.65 pt (p=0.0396). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.042836726022635094,False,b2a461d8c8abf344,74575.0,1607.0,45.33780926718242,145.33780926718222,0.042612559741298316,1.7846302349963445,0.004792337323280093,0.6720597386434349,0.20213620110219765,0.08778748540640091,0.0043559427504667085,6.3324409618897946,1945.0,338.0,0.1737789203084833,0.1737789203084833,0.0,0.0,False,position_open,0.1737789203084833,[],3.0,0.0,True,0.6717934964800536,24476.0,,,,,0.004975124378109453,random_entries,200.0
rsi-mean-reversion,AUDUSD.r,M15,permutation,ok,,True,True,True,0.061809654362676575,0.030904827181338287,"spread is 6.2% of one ATR (3 of 49 points), 3.1% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,616.0,51.41617354879438,0.036957588373013994,"PASSES on 4 of 15 combinations. Best: both at 5 bars, net +8.76 pt (p=0.0207). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.054138145612943375,False,ee786325a75d40ee,24862.0,528.0,15.397953338580649,115.39795333858073,0.03846829192046512,0.9470970060612214,0.035339951832336215,0.6912878787878788,0.1543640673689457,0.37713488590280164,0.00946969696969697,6.360971021042932,616.0,88.0,0.14285714285714285,0.14285714285714285,0.0,0.0,False,position_open,0.14285714285714285,[],3.0,0.0,True,0.6707022765666479,8187.0,,,,,0.03482587064676617,random_entries,200.0
bollinger-mean-reversion,AUDUSD.r,M15,permutation,ok,,True,True,True,0.061809654362676575,0.030904827181338287,"spread is 6.2% of one ATR (3 of 49 points), 3.1% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2025-01-01): for the earlier bars it is an assumption, not a measurement",True,1484.0,22.52919817784993,0.020871573238699703,"PASSES on 9 of 15 combinations. Best: both at 60 bars, net +21.58 pt (p=0.0040). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.05908683974932856,False,692fbbecaaf5b92c,24862.0,1269.0,31.38940862294601,131.3894086229461,0.035184324534142164,1.1918846159572987,0.0331211656958324,0.6887312844759653,0.19940149519516406,0.21030136930154586,0.006304176516942475,10.831644603828433,1484.0,215.0,0.14487870619946092,0.14487870619946092,0.0,0.0,False,position_open,0.14487870619946092,[],3.0,0.0,True,0.6707022765666479,8187.0,,,,,0.004975124378109453,random_entries,200.0
