strategy_id,symbol,timeframe,stage_reached,status,error,counts_as_attempt,tradable,tradability_judged,spread_atr_ratio,spread_stop_share,tradability_reason,gate_passed,gate_signals,gate_best_net_points,gate_best_p_value,gate_verdict,expected_ambiguous_share,ambiguity_flag,run_id,bars,trades,net_pnl,final_equity,sharpe_per_trade,sharpe_annualized,mean_r,win_rate,max_drawdown_pct,p_value,ambiguous_share,band_money,signals,gate_rejected,gate_rejected_share,structural_rejected_share,discretionary_rejected_share,equity_rejected_share,gates_materially_altered,top_gate,top_gate_share,gate_warnings,spread_charged_median,spread_zero_share,spread_trustworthy,spread_measured_share,spread_assumed_bars,relaxed_trades,relaxed_net_pnl,relaxed_sharpe_per_trade,relaxed_verdict,permutation_p_value,permutation_kind,permutation_iterations
rsi-mean-reversion,AUDUSD.r,D1,backtest,too few trades (27 < 30),,True,True,True,0.004762306669942238,0.002381153334971119,"spread is 0.5% of one ATR (3 of 630 points), 0.2% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,35,1334.3294801890247,0.008329217628855412,"PASSES on 4 of 15 combinations. Best: both at 30 bars, net +1068.72 pt (p=0.0020). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.0071174377224199285,False,6d2647d2657f297e,1370,27.0,80.88173773259689,180.88173773259686,0.4869734732048125,0.9510026103822863,0.2381437456751065,0.8148148148148148,0.1735142693575586,0.017787804760233783,0.0,0.0,35.0,8.0,0.22857142857142856,0.22857142857142856,0.0,0.0,True,position_open,0.22857142857142856,"['signal while already in a position rejected 8 of 35 signals (23%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.0,1370.0,,,,"23% of the signals were rejected, 23% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",,,
rsi-mean-reversion,XTIUSD,D1,permutation,ok,,True,True,True,0.01314985639032265,0.006574928195161325,"spread is 1.3% of one ATR (30 of 2281 points), 0.7% of a 2x ATR stop. The spread was measured from 2025-04-02, after this series begins (2020-02-23): for the earlier bars it is an assumption, not a measurement",True,46,17515.787394713912,0.0011114481066887283,"PASSES on 1 of 15 combinations. Best: both at 120 bars, net +5306.65 pt (p=0.0318). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.0706896551724138,False,026a31792a3f6aef,1685,38.0,350.13770054556676,450.1377005455667,0.22512538411860725,0.6590762684062823,0.10415008689349518,0.7368421052631579,0.8185982126545969,0.17350959836599045,0.0,0.0,46.0,8.0,0.17391304347826086,0.17391304347826086,0.0,0.0,False,position_open,0.17391304347826086,[],30.0,0.0,True,0.0,1685.0,,,,,0.03482587064676617,random_entries,200.0
rsi-mean-reversion,AUDUSD.r,H4,permutation,ok,,True,True,True,0.012199373219038539,0.006099686609519269,"spread is 1.2% of one ATR (3 of 246 points), 0.6% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,228,260.95367159094906,0.032648056193582575,"PASSES on 11 of 15 combinations. Best: both at 15 bars, net +117.92 pt (p=0.0025). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.030203545633617858,False,fc9511ff12c32e59,8214,172.0,115.43606104153989,215.43606104153986,0.19897280154700508,0.9334858015214602,0.14560570143622228,0.7616279069767442,0.20088101510915976,0.009871220254285218,0.0,0.0,228.0,56.0,0.24561403508771928,0.24561403508771928,0.0,0.0,True,position_open,0.24561403508771928,"['signal while already in a position rejected 56 of 228 signals (25%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.0,8214.0,,,,"25% of the signals were rejected, 25% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.004975124378109453,random_entries,200.0
ma-crossover,AUDUSD.r,H4,permutation,ok,,True,True,True,0.012199373219038539,0.006099686609519269,"spread is 1.2% of one ATR (3 of 246 points), 0.6% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,53,507.1664880818112,0.002687898476448236,"PASSES on 1 of 15 combinations. Best: both at 30 bars, net +264.30 pt (p=0.0257). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.007518796992481203,False,e7585f1462736e6a,8214,49.0,62.94886638682466,162.9488663868246,0.17972517621899936,0.6188016436731344,0.17816348103644375,0.40816326530612246,0.165085694100043,0.21444986154499368,0.0,0.0,53.0,4.0,0.07547169811320754,0.07547169811320754,0.0,0.0,False,position_open,0.07547169811320754,[],3.0,0.0,True,0.0,8214.0,,,,,0.05970149253731343,random_entries,200.0
rsi-mean-reversion,USDCAD.r,D1,permutation,ok,,True,True,True,0.006510206023604206,0.003255103011802103,"spread is 0.7% of one ATR (5 of 768 points), 0.3% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,41,2268.662133333331,0.0006177682699877174,"PASSES on 3 of 15 combinations. Best: both at 120 bars, net +2027.17 pt (p=0.0002). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.023183925811437404,False,bf541a5eccaaf95b,1370,30.0,32.76866228180524,132.7686622818052,0.1718114247310439,0.43475957442404434,0.07875885801163411,0.7333333333333333,0.191848445833695,0.3544526798084342,0.0,0.0,41.0,11.0,0.2682926829268293,0.2682926829268293,0.0,0.0,True,position_open,0.2682926829268293,"['signal while already in a position rejected 11 of 41 signals (27%): above 20%, this gate is selecting the trades rather than trimming the tail']",5.0,0.0,True,0.0,1370.0,,,,"27% of the signals were rejected, 27% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.07960199004975124,random_entries,200.0
bollinger-mean-reversion,AUDUSD.r,H4,permutation,ok,,True,True,True,0.012199373219038539,0.006099686609519269,"spread is 1.2% of one ATR (3 of 246 points), 0.6% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,487,167.6633078279367,0.05744118626422512,"PASSES on 4 of 15 combinations. Best: both at 15 bars, net +81.24 pt (p=0.0043). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.02981119576018549,False,13187bb33bec4992,8214,420.0,293.00881857269917,393.00881857269906,0.14525741923387586,1.2561003229792873,0.08777654426092572,0.7285714285714285,0.2220655587105863,0.0030807331754514333,0.002380952380952381,9.338534203090433,487.0,67.0,0.1375770020533881,0.1375770020533881,0.0,0.0,False,position_open,0.1375770020533881,[],3.0,0.0,True,0.0,8214.0,,,,,0.004975124378109453,random_entries,200.0
macd-signal,GBPUSD.r,D1,permutation,ok,,True,True,True,0.0032331466889170043,0.0016165733444585021,"spread is 0.3% of one ATR (3 of 928 points), 0.2% of a 2x ATR stop. The spread was measured from 2025-04-30, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,87,1255.0133122323605,0.0449095677848137,"PASSES on 3 of 15 combinations. Best: short at 5 bars, net +613.43 pt (p=0.0057). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.016393442622950817,False,629089bc31e770d5,1370,43.0,131.43364612409079,231.43364612409067,0.09827516416869123,0.5636550399513174,0.18972824157895177,0.4186046511627907,0.6927245273487324,0.5227987386204469,0.0,0.0,87.0,44.0,0.5057471264367817,0.5057471264367817,0.0,0.0,True,position_open,0.5057471264367817,"['signal while already in a position rejected 44 of 87 signals (51%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.0,1370.0,,,,"51% of the signals were rejected, 51% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.12437810945273632,random_entries,200.0
ema-trend-filter,USDJPY.r,H4,permutation,ok,,True,True,True,0.006604612117296079,0.0033023060586480396,"spread is 0.7% of one ATR (3 of 454 points), 0.3% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,299,723.0112378186449,0.020827780287583475,"PASSES on 1 of 15 combinations. Best: long at 120 bars, net +723.01 pt (p=0.0208). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.03821656050955414,False,1b87c675084fc60e,8214,98.0,84.04203476447975,184.0420347644798,0.0981954385356249,0.535775518124544,0.04307265694293733,0.35714285714285715,0.4229421860989747,0.33342597606466695,0.0,0.0,299.0,201.0,0.6722408026755853,0.6722408026755853,0.0,0.0,True,position_open,0.6722408026755853,"['signal while already in a position rejected 201 of 299 signals (67%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.0,8214.0,,,,"67% of the signals were rejected, 67% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.024875621890547265,random_entries,200.0
macd-signal,AUDUSD.r,D1,permutation,ok,,True,True,True,0.004762306669942238,0.002381153334971119,"spread is 0.5% of one ATR (3 of 630 points), 0.2% of a 2x ATR stop. The spread was measured from 2025-05-01, after this series begins (2021-05-25): for the earlier bars it is an assumption, not a measurement",True,104,480.70640000000014,0.13752184470273754,"PASSES on 1 of 15 combinations. Best: long at 30 bars, net +472.66 pt (p=0.0375). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.0,False,58cf5ddd14747b4f,1370,40.0,55.66152201734895,155.661522017349,0.08060081763142535,0.42624026769343787,0.13791666229053662,0.4,0.6853088750903233,0.6130893562229827,0.0,0.0,104.0,64.0,0.6153846153846154,0.6153846153846154,0.0,0.0,True,position_open,0.6153846153846154,"['signal while already in a position rejected 64 of 104 signals (62%): above 20%, this gate is selecting the trades rather than trimming the tail']",3.0,0.0,True,0.0,1370.0,,,,"62% of the signals were rejected, 62% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.11442786069651742,random_entries,200.0
roc-momentum,XAUEUR.r,H4,permutation,ok,,True,True,True,0.010087175386279757,0.005043587693139878,"spread is 1.0% of one ATR (10 of 991 points), 0.5% of a 2x ATR stop. The spread was measured from 2025-04-04, after this series begins (2021-06-21): for the earlier bars it is an assumption, not a measurement",True,971,476.30308738664985,0.04042268956492534,"PASSES on 1 of 15 combinations. Best: long at 30 bars, net +476.30 pt (p=0.0404). Caution: with 15 parallel tests some positives at the 5% level are expected by chance; confirm out-of-sample.",0.07093821510297482,False,3097a191459dfd85,8053,239.0,3444.4725191003754,3544.4725191003736,0.06241464451309942,1.3090257142989967,0.11615429991850813,0.38493723849372385,0.9819068326928391,0.3355708040695675,0.0,0.0,971.0,732.0,0.7538619979402678,0.7538619979402678,0.0,0.0,True,position_open,0.7538619979402678,"['signal while already in a position rejected 732 of 971 signals (75%): above 20%, this gate is selecting the trades rather than trimming the tail']",10.0,0.0,True,0.0,8053.0,,,,"75% of the signals were rejected, 75% of them because a position was already open. That is structural to a one-position engine and cannot be relaxed; the discretionary gates rejected 0%, so there is nothing to open",0.009950248756218905,random_entries,200.0
